# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560
  1 -1.40616 577.392 931.231
  2 8.59384 615.412 930.415
  3 18.5938 604.29 933.179
  4 28.5938 586.581 936.528
  5 38.5938 580.967 935.895
  6 48.5938 578.859 938.797
  7 58.5938 564.009 942.39
  8 68.5938 561.105 948.731
  9 78.5938 553.017 956.387
  10 88.5938 541.294 957.861
  11 98.5938 534.67 955.157
  12 108.594 552.388 957.896
  13 118.594 562.149 958.127
  14 128.594 571.282 959.129
  15 138.594 591.318 957.731
  16 148.594 576.276 965.317
  17 158.594 561.47 966.814
  18 168.594 580.747 965.52
  19 178.594 583.976 960.389
  20 188.594 594.961 949.434
  21 198.594 595.122 951.853
  22 208.594 614.529 950.595
  23 218.594 546.521 947.069
  24 228.594 579.374 947.862
  25 238.594 602.246 950.284
  26 248.594 584.888 944.958
  27 258.594 620.995 934.589
  28 268.594 626.855 933.973
  29 278.594 593.799 935.258
  30 288.594 575.471 932.479
  31 298.594 547.38 930.043
  32 308.594 548.552 928.615
  33 318.594 557.669 928.468
  34 328.594 580.897 924.976
  35 338.594 594.533 919.779
  36 348.594 575.293 915.129
  37 358.594 573.902 910.539
  38 368.594 589.505 909.897
  39 378.594 581.298 903.482
  40 388.594 593.557 905.223
  41 398.594 567.053 904.253
  42 408.594 574.07 903.69
  43 418.594 581.06 905.753
  44 428.594 569.833 906.599
  45 438.594 609.303 904.308
  46 448.594 593.34 904.251
  47 458.594 573.581 903.507
  48 468.594 557.495 900.413
  49 478.594 567.873 905.528
  50 488.594 560.482 908.251
  51 498.594 538.512 909.396
  52 508.594 552.584 910.432
  53 518.594 545.285 910.526
  54 528.594 564.437 909.635
  55 538.594 535.774 912.825
  56 548.594 554.87 914.913
  57 558.594 580.156 921.185
  58 568.594 563.382 921.605
  59 578.594 564.518 924.148
  60 588.594 576.257 927.771
  61 598.594 75.5816 930.705
700000 61 34560
  1 -1.40616 575.683 927.724
  2 8.59384 615.075 925.275
  3 18.5938 603.122 928.74
  4 28.5938 591.547 938.549
  5 38.5938 578.718 942.86
  6 48.5938 576.485 948.724
  7 58.5938 566.475 957.352
  8 68.5938 560.942 958.65
  9 78.5938 552.155 962.772
  10 88.5938 541.806 963.928
  11 98.5938 534.486 964.429
  12 108.594 552.056 965.327
  13 118.594 562 965.499
  14 128.594 572.351 963.666
  15 138.594 591.189 965.046
  16 148.594 575.565 964.523
  17 158.594 560.576 963.961
  18 168.594 579.402 961.488
  19 178.594 584.619 954.474
  20 188.594 594.372 952.54
  21 198.594 594.194 950.654
  22 208.594 615.872 952.927
  23 218.594 544.444 947.493
  24 228.594 581.903 942.116
  25 238.594 602.4 938.596
  26 248.594 583.459 931.254
  27 258.594 623.601 929.128
  28 268.594 627.103 928.268
  29 278.594 594.03 931.53
  30 288.594 577.048 928.67
  31 298.594 545.777 928.3
  32 308.594 546.753 924.424
  33 318.594 557.265 922.738
  34 328.594 583.446 921.295
  35 338.594 593.426 922.419
  36 348.594 574.772 922.339
  37 358.594 573.983 918.11
  38 368.594 589.166 920.665
  39 378.594 579.376 924.739
  40 388.594 594.992 919.784
  41 398.594 565.945 909.575
  42 408.594 574.406 910.276
  43 418.594 581.229 910.546
  44 428.594 570.105 905.872
  45 438.594 609.964 907.746
  46 448.594 593.955 902.542
  47 458.594 572.247 909.311
  48 468.594 559.425 905.635
  49 478.594 567.285 904.478
  50 488.594 559.789 906.126
  51 498.594 538.907 905.788
  52 508.594 553.668 907.042
  53 518.594 545.061 910.738
  54 528.594 564.435 908.175
  55 538.594 535.222 905.74
  56 548.594 554.816 907.935
  57 558.594 579.655 904.885
  58 568.594 563.896 911.37
  59 578.594 563.793 919.073
  60 588.594 577.382 927.067
  61 598.594 77.1786 928.417
800000 61 34559.99999999999
  1 -1.40616 576.517 917.6
  2 8.59384 614.481 922.708
  3 18.5938 603.326 927.384
  4 28.5938 591.491 936.145
  5 38.5938 578.803 944.101
  6 48.5938 573.888 948.966
  7 58.5938 566.142 955.02
  8 68.5938 560.541 957.437
  9 78.5938 552.146 956.871
  10 88.5938 541.16 962.82
  11 98.5938 534.594 964.875
  12 108.594 552.036 968.799
  13 118.594 563.055 967.04
  14 128.594 568.923 971.407
  15 138.594 590.635 971.49
  16 148.594 576.419 972.72
  17 158.594 559.314 966.554
  18 168.594 580.03 965.087
  19 178.594 586.076 963.376
  20 188.594 594.312 955.077
  21 198.594 593.432 943.673
  22 208.594 616.835 939.577
  23 218.594 543.419 941.905
  24 228.594 579.322 939.424
  25 238.594 604.457 935.763
  26 248.594 581.378 934.478
  27 258.594 625.962 934.148
  28 268.594 627.036 931.671
  29 278.594 593.284 935.877
  30 288.594 576.875 941.443
  31 298.594 547.194 940.925
  32 308.594 546.096 941.403
  33 318.594 557.42 942.32
  34 328.594 583.223 936.218
  35 338.594 591.586 925.487
  36 348.594 575.723 923.869
  37 358.594 582.286 923.581
  38 368.594 591.643 919.459
  39 378.594 582.494 919.158
  40 388.594 590.362 915.496
  41 398.594 566.538 912.937
  42 408.594 573.089 908.347
  43 418.594 580.45 908.089
  44 428.594 568.423 907.894
  45 438.594 608.522 904.901
  46 448.594 595.855 901.639
  47 458.594 573.412 900.305
  48 468.594 560.768 898.484
  49 478.594 566.696 897.31
  50 488.594 559.716 901.191
  51 498.594 539.389 906.696
  52 508.594 553.955 907.388
  53 518.594 547.374 908.679
  54 528.594 561.658 908.898
  55 538.594 535.928 913.23
  56 548.594 551.038 912.213
  57 558.594 581.901 907.895
  58 568.594 563.681 907.972
  59 578.594 564.805 913.86
  60 588.594 576.261 916.658
  61 598.594 76.6273 915.037
900000 61 34560
  1 -1.40616 576.524 928.149
  2 8.59384 614.842 938.504
  3 18.5938 602.398 941.442
  4 28.5938 588.71 947.502
  5 38.5938 580.593 951.399
  6 48.5938 574.74 954.467
  7 58.5938 566.049 951.763
  8 68.5938 560.936 947.834
  9 78.5938 552.078 947.178
  10 88.5938 540.623 953.3
  11 98.5938 534.338 952.891
  12 108.594 553.403 951.551
  13 118.594 562.791 954.838
  14 128.594 569.193 960.054
  15 138.594 590.641 960.044
  16 148.594 576.952 966.104
  17 158.594 558.148 960.54
  18 168.594 583.797 957.516
  19 178.594 587.019 958.958
  20 188.594 593.057 955.414
  21 198.594 593.858 954.059
  22 208.594 615.742 950.187
  23 218.594 546.508 953.036
  24 228.594 578.634 954.654
  25 238.594 602.266 952.066
  26 248.594 580.208 951.249
  27 258.594 625.396 942.365
  28 268.594 628.147 941.824
  29 278.594 591.689 939.08
  30 288.594 577.479 939.303
  31 298.594 546.534 934.859
  32 308.594 546.501 930.87
  33 318.594 557.64 924.551
  34 328.594 581.269 924.361
  35 338.594 592.332 920.359
  36 348.594 575.812 920.933
  37 358.594 583.256 922.793
  38 368.594 590.982 917.733
  39 378.594 581.849 918.404
  40 388.594 591.591 914.592
  41 398.594 563.351 918.057
  42 408.594 572.552 915.584
  43 418.594 582.175 910.127
  44 428.594 565.791 907.786
  45 438.594 609.494 904.133
  46 448.594 595.765 899.689
  47 458.594 575.111 895.999
  48 468.594 561.026 892.886
  49 478.594 567.634 894.508
  50 488.594 559.561 894.307
  51 498.594 539.129 893.538
  52 508.594 553.195 898.845
